Caltrans District,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,Back Peak Hour,Back Peak Month,Back AADT,Ahead Peak Hour,Ahead Peak Month,Ahead AADT,Latitude,Longitude
4,80,,SOL,R,11.976,,JCT. RTE. 12 WEST,7700,113000,109000,9900,146000,141000,38.20829557,-122.1496464
4,80,,SOL,,12.839,,JCT. RTE. 680 SOUTH,9900,146000,141000,12800,190000,184000,38.21663917,-122.1377095
4,80,,SOL,,13.486,,SUISUN VALLEY RD,12800,190000,184000,13800,205000,198000,38.22273133,-122.1288112
4,80,,SOL,,15.815,,"FAIRFIELD, EAST JCT. RTE. 12",13800,205000,198000,10000,180000,172000,38.24004813,-122.0917169
4,80,,SOL,,17.197,,"FAIRFIELD, WEST TEXAS ST",12900,179000,172000,12100,168000,161000,38.24912974,-122.0702516
4,80,,SOL,,17.917,,TRAVIS BLVD ,12100,168000,161000,13000,180000,173000,38.258319,-122.062269
4,80,,SOL,,19.176,,AIRBASE PARKWAY ,13000,180000,173000,11600,164000,157000,38.27336026,-122.0495517
4,80,,SOL,,20.925,,"FAIRFIELD, NORTH TEXAS ST",11700,164000,157000,12000,168000,161000,38.29507464,-122.0339001
4,80,,SOL,,23.958,,PLEASANT VALLEY,12000,168000,161000,12000,168000,161000,38.33651701,-122.016582
4,80,,SOL,R,25.306,,ALAMO AVE ,12000,168000,161000,11400,160000,153000,38.34624418,-121.9971107
4,80,,SOL,R,26.01,,DAVIS ST ,11400,160000,153000,11100,154000,148000,38.35072117,-121.9856138
4,80,,SOL,R,27.238,,"VACAVILLE, MONTE VISTA AVE",11100,154000,148000,10500,146000,140000,38.36207128,-121.9681816
4,80,,SOL,R,28.36,,JCT. RTE. 505 NORTH,10500,146000,140000,9400,128000,121000,38.37319767,-121.953173
4,80,,SOL,,35.547,,DIXON/GRANT RD,9500,128000,121000,9100,124000,117000,38.44586802,-121.8585008
